# fintech-algorithms	0.13.0
# topic_id	subpath	entry
D00-F11-A09	fintech-algorithms/foundations/financial-risk-and-performance-statistics/active-return-and-tracking-error	activeReturnAndTrackingError
D00-F11-A10	fintech-algorithms/foundations/financial-risk-and-performance-statistics/covariance-matrices-portfolio-variance-and-diversification	covarianceMatricesPortfolioVarianceAndDiversification
D00-F12-A01	fintech-algorithms/foundations/statistical-computing-and-reproducibility/floating-point-representation-overflow-and-underflow	floatingPointRepresentationOverflowAndUnderflow
D00-F12-A02	fintech-algorithms/foundations/statistical-computing-and-reproducibility/stable-summation-and-mean-calculation	stableSummationAndMeanCalculation
D00-F12-A03	fintech-algorithms/foundations/statistical-computing-and-reproducibility/stable-online-variance-and-welford-s-algorithm	stableOnlineVarianceAndWelfordsAlgorithm
D00-F12-A04	fintech-algorithms/foundations/statistical-computing-and-reproducibility/batch-rolling-and-streaming-statistic-equivalence	batchRollingAndStreamingStatisticEquivalence
D00-F12-A05	fintech-algorithms/foundations/statistical-computing-and-reproducibility/missing-infinite-invalid-and-unsupported-state-policies	missingInfiniteInvalidAndUnsupportedStatePolicies
D00-F12-A06	fintech-algorithms/foundations/statistical-computing-and-reproducibility/pseudorandom-numbers-seeds-and-reproducibility	pseudorandomNumbersSeedsAndReproducibility
D00-F12-A07	fintech-algorithms/foundations/statistical-computing-and-reproducibility/vectorization-index-alignment-and-shape-safety	vectorizationIndexAlignmentAndShapeSafety
D00-F12-A08	fintech-algorithms/foundations/statistical-computing-and-reproducibility/leakage-free-fitting-scaling-and-preprocessing	leakageFreeFittingScalingAndPreprocessing
D00-F12-A09	fintech-algorithms/foundations/statistical-computing-and-reproducibility/fixtures-numerical-tolerances-and-property-tests	fixturesNumericalTolerancesAndPropertyTests
D00-F12-A10	fintech-algorithms/foundations/statistical-computing-and-reproducibility/reproducible-analysis-metadata-and-audit-trails	reproducibleAnalysisMetadataAndAuditTrails
D01-F01-A01	fintech-algorithms/market-data-engineering/bar-construction/time-bars	constructBars
D01-F01-A02	fintech-algorithms/market-data-engineering/bar-construction/tick-bars	constructBars
D01-F01-A03	fintech-algorithms/market-data-engineering/bar-construction/volume-bars	constructBars
D01-F01-A04	fintech-algorithms/market-data-engineering/bar-construction/dollar-bars	constructBars
D01-F01-A05	fintech-algorithms/market-data-engineering/bar-construction/tick-imbalance-bars	constructBars
D01-F01-A06	fintech-algorithms/market-data-engineering/bar-construction/volume-imbalance-bars	constructBars
D01-F01-A07	fintech-algorithms/market-data-engineering/bar-construction/tick-run-bars	constructBars
D01-F02-A01	fintech-algorithms/market-data-engineering/cleaning-and-validation/ohlc-consistency-validator	validateBars
D01-F02-A02	fintech-algorithms/market-data-engineering/cleaning-and-validation/hampel-bad-tick-filter	hampelFilter
D01-F02-A03	fintech-algorithms/market-data-engineering/cleaning-and-validation/median-absolute-deviation-outlier-filter	madOutliers
D01-F02-A04	fintech-algorithms/market-data-engineering/cleaning-and-validation/stale-quote-detector	detectStaleQuotes
D01-F02-A05	fintech-algorithms/market-data-engineering/cleaning-and-validation/duplicate-trade-resolver	resolveTrades
D01-F02-A06	fintech-algorithms/market-data-engineering/cleaning-and-validation/crossed-locked-market-detector	classifyMarkets
D01-F03-A01	fintech-algorithms/market-data-engineering/time-synchronization/previous-tick-interpolation	previousTick
D01-F03-A02	fintech-algorithms/market-data-engineering/time-synchronization/linear-quote-interpolation	linearQuoteInterpolation
D01-F03-A03	fintech-algorithms/market-data-engineering/time-synchronization/refresh-time-sampling	refreshTimeSample
D01-F03-A04	fintech-algorithms/market-data-engineering/time-synchronization/exchange-calendar-alignment	validateCalendar
D01-F03-A05	fintech-algorithms/market-data-engineering/time-synchronization/asynchronous-return-alignment	classifyIntervalPair
D01-F04-A01	fintech-algorithms/market-data-engineering/data-quality/missing-bar-gap-classifier	diagnoseGap
D01-F04-A02	fintech-algorithms/market-data-engineering/data-quality/feed-latency-monitor	validateClockProfile
D01-F04-A03	fintech-algorithms/market-data-engineering/data-quality/price-source-consensus-check	consensus
D01-F04-A04	fintech-algorithms/market-data-engineering/data-quality/schema-drift-detector	detectSchemaDrift
D01-F04-A05	fintech-algorithms/market-data-engineering/data-quality/point-in-time-availability-guard	asOfSnapshot
D01-F04-A06	fintech-algorithms/market-data-engineering/data-quality/provider-adjustment-basis-drift-detector	detectAdjustmentBasisDrift
D01-F05-A01	fintech-algorithms/market-data-engineering/order-book-feed-engineering/trade-and-quote-event-normalization	normalizeEvents
D01-F05-A02	fintech-algorithms/market-data-engineering/order-book-feed-engineering/level-2-snapshot-and-delta-reconstruction	reconstructL2
D01-F05-A03	fintech-algorithms/market-data-engineering/order-book-feed-engineering/level-3-order-by-order-reconstruction	reconstructL3
D01-F05-A04	fintech-algorithms/market-data-engineering/order-book-feed-engineering/sequence-gap-detection-and-recovery	recoverSequenceStream
D01-F05-A05	fintech-algorithms/market-data-engineering/order-book-feed-engineering/price-level-quantity-aggregation	aggregatePriceLevels
D01-F05-A06	fintech-algorithms/market-data-engineering/order-book-feed-engineering/snapshot-incremental-feed-reconciliation	reconcileSnapshotIncrementals
D01-F05-A07	fintech-algorithms/market-data-engineering/order-book-feed-engineering/multi-venue-best-quote-and-book-consolidation	consolidateVenues
D02-F01-A01	fintech-algorithms/corporate-actions-and-security-master-data/adjustment-factors/backward-split-adjustment	calculate
D02-F01-A02	fintech-algorithms/corporate-actions-and-security-master-data/adjustment-factors/forward-split-adjustment	calculate
D02-F01-A03	fintech-algorithms/corporate-actions-and-security-master-data/adjustment-factors/cash-dividend-total-return-adjustment	calculate
D02-F01-A04	fintech-algorithms/corporate-actions-and-security-master-data/adjustment-factors/crsp-cumulative-price-adjustment	calculate
D02-F01-A05	fintech-algorithms/corporate-actions-and-security-master-data/adjustment-factors/crsp-cumulative-share-volume-adjustment	calculate
D02-F02-A01	fintech-algorithms/corporate-actions-and-security-master-data/complex-distributions/rights-issue-terp-adjustment	calculate
D02-F02-A02	fintech-algorithms/corporate-actions-and-security-master-data/complex-distributions/spin-off-price-adjustment	calculate
D02-F02-A03	fintech-algorithms/corporate-actions-and-security-master-data/complex-distributions/stock-dividend-adjustment	calculate
D02-F02-A04	fintech-algorithms/corporate-actions-and-security-master-data/complex-distributions/special-dividend-adjustment	calculate
D02-F02-A05	fintech-algorithms/corporate-actions-and-security-master-data/complex-distributions/return-of-capital-adjustment	calculate
D02-F03-A01	fintech-algorithms/corporate-actions-and-security-master-data/identity-continuity/permanent-security-identifier-mapping	resolveIdentifier
D02-F03-A02	fintech-algorithms/corporate-actions-and-security-master-data/identity-continuity/ticker-change-chain-resolution	resolveTickerChain
D02-F03-A03	fintech-algorithms/corporate-actions-and-security-master-data/identity-continuity/share-class-relationship-mapping	calculate
D02-F03-A04	fintech-algorithms/corporate-actions-and-security-master-data/identity-continuity/merger-predecessor-successor-mapping	resolveMerger
D02-F03-A05	fintech-algorithms/corporate-actions-and-security-master-data/identity-continuity/delisting-return-reconstruction	calculate
D02-F04-A01	fintech-algorithms/corporate-actions-and-security-master-data/point-in-time-universe/historical-constituent-reconstruction	calculate
D02-F04-A02	fintech-algorithms/corporate-actions-and-security-master-data/point-in-time-universe/survivorship-bias-guard	guardSurvivorship
D02-F04-A03	fintech-algorithms/corporate-actions-and-security-master-data/point-in-time-universe/ipo-availability-timestamping	calculate
D02-F04-A04	fintech-algorithms/corporate-actions-and-security-master-data/point-in-time-universe/filing-revision-versioning	calculate
D02-F04-A05	fintech-algorithms/corporate-actions-and-security-master-data/point-in-time-universe/corporate-action-status-and-effective-date-reconciliation	reconcileCorporateAction
D03-F01-A01	fintech-algorithms/index-and-benchmark-engineering/index-initialization-and-continuity/base-date-base-value-initialization	calculate
D03-F01-A02	fintech-algorithms/index-and-benchmark-engineering/index-initialization-and-continuity/index-divisor-initialization	calculate
D03-F01-A03	fintech-algorithms/index-and-benchmark-engineering/index-initialization-and-continuity/divisor-continuity-adjustment	calculate
D03-F01-A04	fintech-algorithms/index-and-benchmark-engineering/index-initialization-and-continuity/corporate-action-divisor-bridge	calculate
D03-F01-A05	fintech-algorithms/index-and-benchmark-engineering/index-initialization-and-continuity/intraday-index-level-calculation	calculate
D03-F02-A01	fintech-algorithms/index-and-benchmark-engineering/weighting-and-capping/price-weighted-index	calculate
D03-F02-A02	fintech-algorithms/index-and-benchmark-engineering/weighting-and-capping/total-market-cap-index	calculate
D03-F02-A03	fintech-algorithms/index-and-benchmark-engineering/weighting-and-capping/free-float-market-cap-index	calculate
D03-F02-A04	fintech-algorithms/index-and-benchmark-engineering/weighting-and-capping/capped-free-float-market-cap-index	calculate
D03-F02-A05	fintech-algorithms/index-and-benchmark-engineering/weighting-and-capping/modified-market-cap-index	calculate
D03-F02-A06	fintech-algorithms/index-and-benchmark-engineering/weighting-and-capping/equal-weight-index	calculate
D03-F02-A07	fintech-algorithms/index-and-benchmark-engineering/weighting-and-capping/iterative-cap-redistribution	calculate
D03-F02-A08	fintech-algorithms/index-and-benchmark-engineering/weighting-and-capping/group-level-capping	calculate
D03-F03-A01	fintech-algorithms/index-and-benchmark-engineering/alternative-weighting/fundamental-weighted-index	calculate
D03-F03-A02	fintech-algorithms/index-and-benchmark-engineering/alternative-weighting/dividend-yield-weighted-index	calculate
D03-F03-A03	fintech-algorithms/index-and-benchmark-engineering/alternative-weighting/factor-score-weighted-index	calculate
D03-F03-A04	fintech-algorithms/index-and-benchmark-engineering/alternative-weighting/minimum-volatility-index	calculate
D03-F03-A05	fintech-algorithms/index-and-benchmark-engineering/alternative-weighting/equal-risk-contribution-index	calculate
D03-F03-A06	fintech-algorithms/index-and-benchmark-engineering/alternative-weighting/thematic-tilt-index	calculate
D03-F04-A01	fintech-algorithms/index-and-benchmark-engineering/return-variants/price-return-index	calculate
D03-F04-A02	fintech-algorithms/index-and-benchmark-engineering/return-variants/gross-total-return-index	calculate
D03-F04-A03	fintech-algorithms/index-and-benchmark-engineering/return-variants/net-total-return-index	calculate
D03-F04-A04	fintech-algorithms/index-and-benchmark-engineering/return-variants/excess-return-index	calculate
D03-F04-A05	fintech-algorithms/index-and-benchmark-engineering/return-variants/dividend-point-index	calculate
D03-F04-A06	fintech-algorithms/index-and-benchmark-engineering/return-variants/currency-converted-index	calculate
D03-F04-A07	fintech-algorithms/index-and-benchmark-engineering/return-variants/currency-hedged-index	calculate
D03-F05-A01	fintech-algorithms/index-and-benchmark-engineering/strategy-indices/leveraged-daily-reset-index	calculate
D03-F05-A02	fintech-algorithms/index-and-benchmark-engineering/strategy-indices/inverse-daily-reset-index	calculate
D03-F05-A03	fintech-algorithms/index-and-benchmark-engineering/strategy-indices/volatility-control-index	calculate
D03-F05-A04	fintech-algorithms/index-and-benchmark-engineering/strategy-indices/fixed-decrement-index	calculate
D03-F05-A05	fintech-algorithms/index-and-benchmark-engineering/strategy-indices/percentage-decrement-index	calculate
D03-F05-A06	fintech-algorithms/index-and-benchmark-engineering/strategy-indices/index-of-indices	calculate
D03-F06-A01	fintech-algorithms/index-and-benchmark-engineering/governance-and-maintenance/eligibility-screen	calculate
D03-F06-A02	fintech-algorithms/index-and-benchmark-engineering/governance-and-maintenance/liquidity-screen	calculate
D03-F06-A03	fintech-algorithms/index-and-benchmark-engineering/governance-and-maintenance/free-float-factor-calculation	calculate
D03-F06-A04	fintech-algorithms/index-and-benchmark-engineering/governance-and-maintenance/ipo-fast-entry-rule	calculate
D03-F06-A05	fintech-algorithms/index-and-benchmark-engineering/governance-and-maintenance/reconstitution-algorithm	calculate
D03-F06-A06	fintech-algorithms/index-and-benchmark-engineering/governance-and-maintenance/rebalancing-algorithm	calculate
D03-F06-A07	fintech-algorithms/index-and-benchmark-engineering/governance-and-maintenance/turnover-buffer-rule	calculate
D03-F06-A08	fintech-algorithms/index-and-benchmark-engineering/governance-and-maintenance/index-replication-cost-estimator	calculate
D04-F01-A01	fintech-algorithms/market-breadth-and-internals/advance-decline-breadth/net-advances	calculateNetAdvances
D04-F01-A02	fintech-algorithms/market-breadth-and-internals/advance-decline-breadth/advance-decline-ratio	calculateAdvanceDeclineRatio
D04-F01-A03	fintech-algorithms/market-breadth-and-internals/advance-decline-breadth/cumulative-advance-decline-line	calculateCumulativeAdvanceDeclineLine
D04-F01-A04	fintech-algorithms/market-breadth-and-internals/advance-decline-breadth/normalized-advance-decline-line	calculateNormalizedAdLine
D04-F01-A05	fintech-algorithms/market-breadth-and-internals/advance-decline-breadth/absolute-breadth-index	evaluateAbsoluteBreadthIndex
D04-F02-A01	fintech-algorithms/market-breadth-and-internals/mcclellan-family/traditional-mcclellan-oscillator	calculateMcClellanValues
